Mass,Bfld,ID
294082840000.0,0.091912076,335927
341292450000.0,0.13215935,343429
107846910000.0,0.07270221,351779
196045960000.0,0.13885017,365263
218654540000.0,0.08660101,377398
115782870000.0,0.101844154,379949
127092250000.0,0.08876367,384914
131435380000.0,0.15474744,387438
126723680000.0,0.13320933,391081
121684760000.0,0.10122132,391260
94868560000.0,0.13616589,391681
173218990000.0,0.06374895,393731
115125790000.0,0.06459645,393888
151728140000.0,0.12203698,398110
113357770000.0,0.09666768,398913
78851780000.0,0.048409134,408764
160265980000.0,0.14313217,409358
116508475000.0,0.14355972,410303
111087660000.0,0.098781,413608
112885735000.0,0.09011566,415373
99666210000.0,0.09370491,419909
70487800000.0,0.07844304,422831
137506110000.0,0.1452092,424485
133879910000.0,0.14168216,424725
126344780000.0,0.16315562,426483
60874740000.0,0.0591894,426902
134360800000.0,0.16458844,429237
92074130000.0,0.1263427,431282
70242280000.0,0.0494448,431868
84203760000.0,0.055088285,434681
117704900000.0,0.100457214,434938
114672250000.0,0.124447115,435309
91772270000.0,0.13402267,435417
77056705000.0,0.099334486,435782
70041264000.0,0.10466531,436003
106785540000.0,0.11765064,436917
79911354000.0,0.15186177,437822
74312050000.0,0.10475012,438167
120175360000.0,0.13414852,438368
99965530000.0,0.1054182,439468
101980880000.0,0.10615,439518
84680245000.0,0.17935355,440642
104537874000.0,0.12182707,440827
86063940000.0,0.12521738,441667
90254270000.0,0.15399453,442154
79827720000.0,0.10107965,442439
86754100000.0,0.09694289,442637
113268154000.0,0.12752637,443356
110058830000.0,0.07794044,444184
101287770000.0,0.11403744,445092
123721450000.0,0.14868304,445271
121901834000.0,0.17502557,446112
38680330000.0,0.07964057,446172
87760540000.0,0.079803735,447767
88636875000.0,0.16540413,448111
58381447000.0,0.16866297,448269
74542320000.0,0.061977025,449201
88394555000.0,0.08676575,449267
84522110000.0,0.057663113,449465
91778830000.0,0.11246521,449651
95776014000.0,0.09351853,449846
62919115000.0,0.1647003,450265
74182120000.0,0.18363042,450767
89729230000.0,0.18572396,450849
84525460000.0,0.056842856,451005
78880240000.0,0.07231318,451090
76709320000.0,0.13021883,451323
58449183000.0,0.08167947,451860
62974644000.0,0.17535304,451961
81402910000.0,0.16601536,452279
63681806000.0,0.19085741,452357
103277370000.0,0.08292974,453019
77811020000.0,0.192759,453134
115829750000.0,0.23264532,453713
63916216000.0,0.1634627,454074
52724777000.0,0.046334915,454633
76423094000.0,0.105898984,454729
83537610000.0,0.12679462,454898
64390690000.0,0.18095951,455198
41502210000.0,0.11508117,456114
58620162000.0,0.15044619,456456
87417020000.0,0.15633236,456538
69732370000.0,0.16996072,456725
95538640000.0,0.0961277,457169
80701350000.0,0.105431676,457514
66755720000.0,0.073821664,457604
80898480000.0,0.11120169,457871
70124180000.0,0.1029245,458231
58906550000.0,0.12090297,458447
88970240000.0,0.20535237,458604
60571177000.0,0.12228486,459020
104949630000.0,0.12004749,459360
49147646000.0,0.14800279,459786
73125410000.0,0.1431025,459959
65847124000.0,0.107125975,460117
71361550000.0,0.10510124,460273
65881977000.0,0.14738363,460692
86010980000.0,0.09215465,460746
61929345000.0,0.13076651,460823
53496414000.0,0.15127984,460888
58072480000.0,0.060154483,461038
77303276000.0,0.10616485,461136
60076028000.0,0.1129108,461609
60656275000.0,0.1967678,461806
77585120000.0,0.13077734,462077
54712390000.0,0.21237007,462189
82523980000.0,0.1285158,462564
74295380000.0,0.116907395,462631
