ID,Mass,Bfld,Type
146208,3712422700.0,1.3541296,Pre-Infall
146211,5476265000.0,3.2510793,Pre-Infall
146212,3094716700.0,0.71824366,Pre-Infall
146218,2047619000.0,0.65212923,Pre-Infall
146228,1135439100.0,0.47117662,Pre-Infall
146237,2079247400.0,0.87383294,Pre-Infall
146241,1669366400.0,1.1430291,Pre-Infall
149170,285126900000.0,5.340014,Pre-Infall
149171,251410380000.0,11.9332905,Pre-Infall
149173,75416035000.0,0.37626034,Pre-Infall
149178,18573971000.0,1.0637282,Pre-Infall
149185,3144343800.0,0.7648627,Pre-Infall
149188,1528497700.0,0.5788029,Pre-Infall
149189,10523830000.0,1.827608,Pre-Infall
149196,3797850400.0,0.60817254,Pre-Infall
152032,255932760000.0,0.8300345,Pre-Infall
152033,185906330000.0,0.5755222,Pre-Infall
152058,8230833000.0,2.3029506,Pre-Infall
152063,3886790400.0,1.5304335,Pre-Infall
152067,1680935700.0,0.4729298,Pre-Infall
152079,1081577700.0,0.5317402,Pre-Infall
154494,318659230000.0,5.976379,Pre-Infall
154495,55947020000.0,0.5091477,Pre-Infall
154496,35128090000.0,1.9048115,Pre-Infall
154497,33933402000.0,5.5274315,Pre-Infall
154500,26827821000.0,6.1558156,Pre-Infall
154512,1933569300.0,1.5601815,Pre-Infall
156816,32988340000.0,4.6636915,Pre-Infall
158848,90212610000.0,1.1160916,Pre-Infall
158853,26869567000.0,1.025335,Pre-Infall
158854,29614967000.0,1.1387275,Pre-Infall
158856,2489289500.0,0.1610253,Pre-Infall
158858,29243910000.0,1.371701,Pre-Infall
158859,3974605600.0,0.74726355,Pre-Infall
158860,3158289700.0,0.6837552,Pre-Infall
158864,5303097300.0,0.75805694,Pre-Infall
158871,3272954600.0,1.8212601,Pre-Infall
161165,70078400000.0,3.558517,Pre-Infall
161177,7662784000.0,1.0868031,Pre-Infall
161179,5640695000.0,1.7829959,Pre-Infall
161202,3040191000.0,1.4665643,Pre-Infall
163676,100359180000.0,0.38913652,Pre-Infall
163678,11224359000.0,0.80610365,Pre-Infall
163683,15519767000.0,2.2126737,Pre-Infall
165728,319900880000.0,0.31624553,Pre-Infall
165731,15046911000.0,1.1613857,Pre-Infall
165732,39722734000.0,4.904518,Pre-Infall
165733,17855300000.0,1.6138439,Pre-Infall
165736,6643113000.0,0.5316654,Pre-Infall
165738,4706344000.0,1.1399487,Pre-Infall
165739,3803981600.0,0.70247996,Pre-Infall
165787,1309584100.0,2.4370005,Pre-Infall
168391,71820860000.0,0.17990902,Pre-Infall
168394,39749485000.0,1.0056995,Pre-Infall
168395,2932231400.0,0.50159955,Pre-Infall
168399,7130218500.0,4.444368,Pre-Infall
168402,1969071200.0,2.14087,Pre-Infall
168404,11950682000.0,5.7438345,Pre-Infall
168407,3800385500.0,3.9262831,Pre-Infall
168450,1008749440.0,2.0483587,Pre-Infall
170542,70282740000.0,1.4500827,Pre-Infall
170553,10179759000.0,0.91877246,Pre-Infall
172650,302962740000.0,0.2604739,Pre-Infall
172651,205625740000.0,0.36713526,Pre-Infall
172655,15249467000.0,1.3495796,Pre-Infall
172657,11660546000.0,0.29389226,Pre-Infall
172659,20487733000.0,3.321428,Pre-Infall
172661,19664560000.0,1.3202909,Pre-Infall
172662,5403949000.0,1.4452475,Pre-Infall
172663,3494890500.0,1.37873,Pre-Infall
172688,1072857800.0,1.761212,Pre-Infall
172733,1242169000.0,8.691119,Pre-Infall
175239,254932800000.0,2.2536724,Pre-Infall
175240,222708650000.0,0.529515,Pre-Infall
175241,40443840000.0,0.43468252,Pre-Infall
175242,28974141000.0,1.3827759,Pre-Infall
175244,50642674000.0,0.7432218,Pre-Infall
175245,28660177000.0,1.305626,Pre-Infall
175247,10710266000.0,0.8660125,Pre-Infall
175248,11542750000.0,3.2838783,Pre-Infall
175249,7249580500.0,1.332527,Pre-Infall
175251,17551116000.0,8.548219,Pre-Infall
175253,9205980000.0,0.49362785,Pre-Infall
175255,4922200600.0,0.9594725,Pre-Infall
175257,4052592400.0,1.9903839,Pre-Infall
175258,2466630700.0,0.89107865,Pre-Infall
175260,1111078500.0,0.38802806,Pre-Infall
175261,1216070900.0,1.1464425,Pre-Infall
175263,1257381100.0,2.6779368,Pre-Infall
175295,1112561700.0,8.126552,Pre-Infall
177722,67146252000.0,2.538828,Pre-Infall
177723,15818155000.0,0.2543213,Pre-Infall
177724,9408005000.0,0.3615246,Pre-Infall
177726,9143557000.0,0.2725623,Pre-Infall
177729,12500127000.0,1.590378,Pre-Infall
177730,12352397000.0,0.56752163,Pre-Infall
177732,3394218000.0,0.5217962,Pre-Infall
177733,2264786200.0,1.456916,Pre-Infall
177735,3493806600.0,0.5017593,Pre-Infall
177739,6425511000.0,1.2914464,Pre-Infall
177740,2241428500.0,1.5199122,Pre-Infall
179887,187350420000.0,1.7146169,Pre-Infall
179890,60212937000.0,0.24583815,Pre-Infall
179893,17024475000.0,1.2929047,Pre-Infall
179896,19718988000.0,2.9619658,Pre-Infall
179897,17554743000.0,1.1517261,Pre-Infall
179898,16970853000.0,1.7676059,Pre-Infall
179902,15052048000.0,6.003666,Pre-Infall
179903,5407235600.0,1.7883052,Pre-Infall
179905,7755902000.0,0.89481914,Pre-Infall
179906,2155013600.0,2.50107,Pre-Infall
179944,2579417900.0,8.264156,Pre-Infall
181984,201611700000.0,0.46847692,Pre-Infall
181985,167436660000.0,0.0928587,Pre-Infall
181987,44324225000.0,0.52112126,Pre-Infall
181989,31819094000.0,0.88558865,Pre-Infall
181990,44877470000.0,1.9769052,Pre-Infall
181994,16637276000.0,2.5507312,Pre-Infall
181995,9629580000.0,2.1964054,Pre-Infall
181996,19150328000.0,1.0028778,Pre-Infall
181997,15630823000.0,4.147644,Pre-Infall
181998,16743967000.0,1.7419927,Pre-Infall
182000,1632131700.0,0.6255852,Pre-Infall
182001,3919933700.0,0.41799915,Pre-Infall
182004,2306539500.0,1.0750715,Pre-Infall
182005,5671274500.0,2.1853707,Pre-Infall
184830,187141240000.0,13.896276,Pre-Infall
184832,31955552000.0,1.5067499,Pre-Infall
184833,22514268000.0,2.1062229,Pre-Infall
184834,42599780000.0,4.1712527,Pre-Infall
184836,27001991000.0,2.292888,Pre-Infall
184838,8106213400.0,3.0583274,Pre-Infall
184839,15092122000.0,1.6601259,Pre-Infall
184840,7029414000.0,1.99346,Pre-Infall
184841,12588881000.0,0.5149256,Pre-Infall
184843,3525444600.0,0.72050864,Pre-Infall
184844,7633024500.0,0.42692593,Pre-Infall
184847,1730680700.0,2.4887583,Pre-Infall
186939,13417812000.0,5.7300434,Pre-Infall
186943,1634647600.0,0.9551771,Pre-Infall
186946,7567101400.0,7.4089785,Pre-Infall
186955,1098089300.0,0.557266,Pre-Infall
188870,14413520000.0,0.97020304,Pre-Infall
188874,7111342000.0,1.09907,Pre-Infall
188878,7200508400.0,3.7452502,Pre-Infall
188879,2339852300.0,0.30359697,Pre-Infall
191090,15146341000.0,2.835759,Pre-Infall
191100,1846519700.0,1.1309645,Pre-Infall
192909,14151739000.0,1.6452488,Pre-Infall
192910,10336930000.0,1.190304,Pre-Infall
192911,12925361000.0,1.1659398,Pre-Infall
192912,15441129000.0,3.336052,Pre-Infall
192913,4980181000.0,1.5634811,Pre-Infall
192915,3464861000.0,0.7762009,Pre-Infall
192916,2457106200.0,1.4026897,Pre-Infall
192923,1089922700.0,2.0600774,Pre-Infall
194951,19248003000.0,0.24030101,Pre-Infall
194955,8906028000.0,3.0877943,Pre-Infall
194956,9026320000.0,1.322632,Pre-Infall
194958,7257589000.0,1.76561,Pre-Infall
194959,7660978700.0,1.3096329,Pre-Infall
194960,1613179400.0,0.75419164,Pre-Infall
194961,1970082600.0,1.0283928,Pre-Infall
194962,2569154800.0,1.1810814,Pre-Infall
194965,2411910000.0,1.5816432,Pre-Infall
194967,1063827840.0,1.1963581,Pre-Infall
194968,2136738200.0,1.1113809,Pre-Infall
194971,1980171400.0,2.1340227,Pre-Infall
194976,4224255200.0,5.5265794,Pre-Infall
197109,306137330000.0,0.1517588,Pre-Infall
197111,144696380000.0,3.4325356,Pre-Infall
197113,49842844000.0,0.23759533,Pre-Infall
197114,31165550000.0,0.9103673,Pre-Infall
197116,13940468000.0,0.27689248,Pre-Infall
197121,3567747800.0,1.424076,Pre-Infall
197123,4793732600.0,0.8352905,Pre-Infall
197126,1040671740.0,0.3289152,Pre-Infall
197127,6322280000.0,6.17283,Pre-Infall
197128,1899945700.0,0.39996594,Pre-Infall
197129,1965021300.0,1.4946458,Pre-Infall
197131,2638674700.0,0.5541167,Pre-Infall
197133,1609920600.0,1.766331,Pre-Infall
197135,3902900700.0,3.310714,Pre-Infall
197138,7093377500.0,6.259956,Pre-Infall
197141,1562731400.0,0.44817916,Pre-Infall
197143,5148109000.0,7.615058,Pre-Infall
199322,49912220000.0,0.48149246,Pre-Infall
199323,29802355000.0,0.109715596,Pre-Infall
199324,18445527000.0,1.5601733,Pre-Infall
200804,211468240000.0,5.1919947,Pre-Infall
200805,52357150000.0,0.5919789,Pre-Infall
200807,45305913000.0,0.10603385,Pre-Infall
200810,42981003000.0,3.1009486,Pre-Infall
200811,16724354000.0,0.9244931,Pre-Infall
200813,12647074000.0,3.455007,Pre-Infall
200815,2599900400.0,0.8360119,Pre-Infall
200817,2632615700.0,1.3481505,Pre-Infall
200819,9652504000.0,3.5347495,Pre-Infall
202636,65121485000.0,1.5454562,Pre-Infall
202637,87325250000.0,7.29257,Pre-Infall
202640,43668054000.0,3.9953024,Pre-Infall
202641,3453385700.0,0.8836607,Pre-Infall
204235,60029660000.0,0.08254065,Pre-Infall
204237,53149487000.0,0.14787541,Pre-Infall
204238,72737030000.0,0.2233686,Pre-Infall
204239,14278410000.0,1.3526962,Pre-Infall
204242,3821161200.0,0.2413338,Pre-Infall
206231,3031942000.0,1.4788197,Pre-Infall
207475,28071735000.0,1.9391156,Pre-Infall
207479,4688602000.0,1.7738963,Pre-Infall
207482,2393645000.0,1.2846719,Pre-Infall
207485,1662692900.0,1.5866647,Pre-Infall
207492,1183656400.0,4.121082,Pre-Infall
208817,1320052100.0,1.5814012,Pre-Infall
210763,173342750000.0,0.12816088,Pre-Infall
210765,194717430000.0,0.5551595,Pre-Infall
210773,4221708800.0,0.8333545,Pre-Infall
210775,3206235000.0,1.1966535,Pre-Infall
210778,1474607700.0,0.8147751,Pre-Infall
210783,6834532000.0,1.30709,Pre-Infall
210785,1056328640.0,0.665041,Pre-Infall
210788,7315220000.0,2.4093578,Pre-Infall
212837,142251570000.0,3.6807895,Pre-Infall
212838,100218010000.0,4.813438,Pre-Infall
212841,28577356000.0,3.3941908,Pre-Infall
212843,19632828000.0,2.8710556,Pre-Infall
212844,8998552000.0,1.5517061,Pre-Infall
212845,2028572500.0,0.1890885,Pre-Infall
212846,9868179000.0,2.1616569,Pre-Infall
212847,9660669000.0,2.6589968,Pre-Infall
212848,10965694000.0,2.2782543,Pre-Infall
214453,116116900000.0,1.655295,Pre-Infall
214454,122478700000.0,3.5628345,Pre-Infall
